"","participant","predicate","predicate_number","response"
"1",1,"inform",12,0
"4",1,"confirm",4,0
"5",1,"be right",6,0
"6",1,"prove",2,0
"7",1,"admit",13,0.49
"8",1,"announce",10,0.47
"9",1,"discover",14,0.49
"12",1,"say",8,0
"13",1,"demonstrate",18,0
"15",1,"suggest",17,0
"16",1,"pretend",15,0
"18",1,"be annoyed",9,0.5
"19",1,"hear",16,0.01
"20",1,"know",11,0.48
"21",1,"acknowledge",5,0.49
"22",1,"see",19,0.49
"23",1,"reveal",3,0.5
"24",1,"establish",1,0.01
"25",1,"think",7,0
"26",1,"confess",20,0.51
"27",12,"discover",14,0.99
"30",12,"suggest",17,0.02
"31",12,"be annoyed",9,0.83
"32",12,"demonstrate",18,0.52
"34",12,"reveal",3,0.2
"36",12,"establish",1,0.02
"37",12,"acknowledge",5,0.22
"38",12,"hear",16,0.75
"39",12,"think",7,0.52
"40",12,"pretend",15,0.48
"41",12,"confess",20,0.73
"42",12,"be right",6,0.85
"43",12,"see",19,1
"45",12,"admit",13,0.49
"46",12,"prove",2,0.82
"47",12,"inform",12,1
"48",12,"say",8,0.47
"49",12,"announce",10,0
"50",12,"confirm",4,0
"52",12,"know",11,0.97
"53",23,"know",11,0.67
"54",23,"say",8,0.82
"57",23,"hear",16,0.89
"58",23,"suggest",17,0.51
"59",23,"see",19,0.81
"60",23,"confess",20,0.64
"61",23,"discover",14,0.39
"62",23,"be right",6,0.18
"63",23,"inform",12,0.68
"64",23,"pretend",15,0.62
"65",23,"reveal",3,0.53
"66",23,"acknowledge",5,0.67
"67",23,"think",7,0.39
"68",23,"establish",1,0.57
"70",23,"announce",10,0.59
"71",23,"admit",13,0.68
"72",23,"demonstrate",18,0.27
"73",23,"confirm",4,0.5
"75",23,"be annoyed",9,0.63
"78",23,"prove",2,0.41
"79",33,"announce",10,0.01
"80",33,"pretend",15,0.75
"81",33,"demonstrate",18,0.08
"82",33,"acknowledge",5,1
"83",33,"suggest",17,0.12
"84",33,"establish",1,0.28
"85",33,"reveal",3,0.11
"87",33,"inform",12,0.5
"91",33,"confess",20,0.3
"92",33,"hear",16,1
"93",33,"be annoyed",9,0.98
"94",33,"admit",13,0.38
"95",33,"be right",6,0.04
"97",33,"prove",2,0.24
"98",33,"say",8,0.13
"99",33,"see",19,0.17
"100",33,"confirm",4,0.19
"102",33,"discover",14,0.41
"103",33,"think",7,0.31
"104",33,"know",11,0.28
"105",43,"demonstrate",18,0.15
"106",43,"inform",12,0.14
"107",43,"hear",16,0.58
"108",43,"prove",2,0.17
"112",43,"see",19,0.77
"113",43,"think",7,0.25
"114",43,"be annoyed",9,0.86
"115",43,"announce",10,0.79
"116",43,"acknowledge",5,0.81
"117",43,"say",8,0.14
"118",43,"pretend",15,0.16
"119",43,"discover",14,0.24
"120",43,"confess",20,0.23
"121",43,"know",11,0.73
"122",43,"reveal",3,0.26
"123",43,"suggest",17,0.24
"124",43,"be right",6,0.26
"127",43,"confirm",4,0.21
"128",43,"establish",1,0.2
"129",43,"admit",13,0.19
"131",45,"be annoyed",9,1
"133",45,"be right",6,0.09
"134",45,"inform",12,0.79
"135",45,"announce",10,0.17
"137",45,"say",8,0.2
"138",45,"demonstrate",18,0.2
"140",45,"confess",20,0.78
"141",45,"know",11,0.79
"142",45,"think",7,0.91
"144",45,"reveal",3,0.79
"145",45,"confirm",4,0.22
"146",45,"establish",1,0.18
"147",45,"see",19,0
"148",45,"admit",13,0.11
"150",45,"hear",16,0.17
"151",45,"suggest",17,0.05
"153",45,"acknowledge",5,0.13
"154",45,"prove",2,0.1
"155",45,"discover",14,0.06
"156",45,"pretend",15,0.13
"157",46,"hear",16,1
"158",46,"pretend",15,0
"159",46,"be right",6,0.01
"160",46,"say",8,0.23
"161",46,"demonstrate",18,0.76
"162",46,"be annoyed",9,0.98
"163",46,"confess",20,0.5
"164",46,"acknowledge",5,0.74
"165",46,"reveal",3,0.68
"166",46,"see",19,0.51
"168",46,"establish",1,0.3
"169",46,"inform",12,0.99
"170",46,"discover",14,0.99
"175",46,"confirm",4,0.01
"176",46,"announce",10,1
"178",46,"prove",2,0.03
"179",46,"think",7,0.03
"180",46,"suggest",17,0.03
"181",46,"know",11,0.97
"182",46,"admit",13,0.02
"209",47,"confess",20,0.19
"210",47,"hear",16,0.85
"211",47,"establish",1,0.21
"212",47,"prove",2,0.25
"213",47,"see",19,0.67
"214",47,"acknowledge",5,0.97
"216",47,"confirm",4,0.33
"217",47,"demonstrate",18,0.36
"218",47,"inform",12,0.77
"219",47,"discover",14,0.76
"220",47,"know",11,0.93
"223",47,"announce",10,0.23
"224",47,"pretend",15,0.17
"225",47,"suggest",17,0.19
"226",47,"admit",13,0.78
"227",47,"reveal",3,0.25
"228",47,"think",7,0.2
"230",47,"be annoyed",9,0.97
"231",47,"be right",6,0.24
"234",47,"say",8,0.29
"235",2,"admit",13,0.78
"236",2,"see",19,0.68
"237",2,"know",11,0.58
"239",2,"say",8,0
"240",2,"acknowledge",5,0
"241",2,"confess",20,0.58
"243",2,"announce",10,0
"244",2,"inform",12,0.5
"246",2,"be right",6,0
"247",2,"demonstrate",18,0
"248",2,"establish",1,0
"249",2,"reveal",3,0.26
"250",2,"discover",14,0.81
"252",2,"prove",2,0
"254",2,"confirm",4,0
"255",2,"hear",16,0.31
"256",2,"suggest",17,0
"257",2,"be annoyed",9,1
"259",2,"think",7,0
"260",2,"pretend",15,0
"261",3,"establish",1,0.17
"262",3,"know",11,0.9
"263",3,"see",19,0.22
"267",3,"be annoyed",9,0.94
"268",3,"think",7,0.11
"270",3,"hear",16,0.87
"271",3,"admit",13,0.12
"272",3,"confirm",4,0.28
"273",3,"confess",20,0.7
"274",3,"say",8,0.15
"276",3,"acknowledge",5,0.23
"277",3,"suggest",17,0.06
"278",3,"announce",10,0.17
"279",3,"prove",2,0.04
"280",3,"be right",6,0.04
"282",3,"reveal",3,0.26
"283",3,"inform",12,0.79
"284",3,"pretend",15,0.05
"285",3,"demonstrate",18,0.04
"286",3,"discover",14,0.8
"288",4,"announce",10,0.16
"290",4,"reveal",3,0.13
"291",4,"hear",16,0.16
"293",4,"know",11,0.16
"294",4,"confess",20,0.19
"297",4,"say",8,0.22
"298",4,"establish",1,0.21
"299",4,"think",7,0.09
"300",4,"pretend",15,0.22
"301",4,"be right",6,0.48
"302",4,"prove",2,0.14
"303",4,"discover",14,0.29
"304",4,"acknowledge",5,0.47
"305",4,"confirm",4,0.23
"307",4,"see",19,0.72
"308",4,"admit",13,0.56
"309",4,"inform",12,0.88
"310",4,"demonstrate",18,0.34
"311",4,"be annoyed",9,0.58
"312",4,"suggest",17,0.45
"314",5,"admit",13,1
"317",5,"establish",1,0.14
"318",5,"confirm",4,0.32
"319",5,"be right",6,0
"320",5,"announce",10,0.26
