"","participant","predicate","predicate_number","response"
"1",1,"prove",2,0.58
"2",1,"be annoyed",9,0.47
"3",1,"discover",14,0.67
"4",1,"acknowledge",5,0.72
"5",1,"pretend",15,0.67
"7",1,"know",11,0.68
"9",1,"hear",16,0.76
"10",1,"suggest",17,0.7
"11",1,"announce",10,0.78
"12",1,"confirm",4,0.69
"14",1,"think",7,0.77
"15",1,"establish",1,0.82
"16",1,"inform",12,0.74
"18",1,"be right",6,0.7
"19",1,"demonstrate",18,0.81
"20",1,"admit",13,0.76
"21",1,"say",8,0.69
"22",1,"reveal",3,0.75
"23",1,"see",19,0.8
"25",1,"confess",20,0.73
"29",12,"see",19,0.56
"30",12,"hear",16,0.75
"31",12,"establish",1,0.53
"33",12,"discover",14,0.68
"34",12,"be right",6,0.46
"35",12,"confess",20,0.79
"36",12,"acknowledge",5,0.62
"37",12,"demonstrate",18,0.75
"39",12,"confirm",4,0.77
"40",12,"inform",12,0.56
"41",12,"announce",10,0.77
"42",12,"know",11,0.6
"43",12,"suggest",17,0.85
"44",12,"admit",13,0.65
"45",12,"prove",2,0.9
"46",12,"pretend",15,0.64
"49",12,"reveal",3,0.82
"50",12,"be annoyed",9,0.72
"51",12,"think",7,0.76
"52",12,"say",8,0.55
"53",23,"see",19,0.88
"56",23,"acknowledge",5,0.98
"57",23,"say",8,0.28
"58",23,"reveal",3,0.63
"59",23,"know",11,0.78
"60",23,"think",7,0.14
"61",23,"prove",2,0.33
"62",23,"admit",13,0.84
"64",23,"be right",6,0.08
"65",23,"hear",16,0.64
"66",23,"announce",10,0.49
"67",23,"confess",20,0.35
"69",23,"discover",14,0.79
"70",23,"be annoyed",9,0.88
"72",23,"confirm",4,0.57
"73",23,"pretend",15,0.3
"74",23,"inform",12,0.82
"76",23,"suggest",17,0.35
"77",23,"establish",1,0.55
"78",23,"demonstrate",18,0.3
"80",34,"admit",13,0.57
"81",34,"discover",14,0.4
"82",34,"be annoyed",9,0.77
"83",34,"say",8,0.41
"84",34,"prove",2,0.27
"87",34,"know",11,0.33
"88",34,"see",19,0.27
"89",34,"confirm",4,0.57
"90",34,"demonstrate",18,0.35
"91",34,"be right",6,0.36
"92",34,"hear",16,0.66
"93",34,"think",7,0.25
"94",34,"acknowledge",5,0.28
"95",34,"pretend",15,0.29
"96",34,"announce",10,0.13
"97",34,"suggest",17,0.4
"98",34,"reveal",3,0.65
"99",34,"establish",1,0.4
"101",34,"inform",12,0.31
"104",34,"confess",20,0.43
"105",45,"admit",13,0.7
"106",45,"see",19,0.06
"107",45,"acknowledge",5,1
"110",45,"suggest",17,0.46
"111",45,"discover",14,0.83
"112",45,"be annoyed",9,0.98
"114",45,"confess",20,0.35
"116",45,"hear",16,0.62
"117",45,"know",11,0.85
"118",45,"establish",1,0.05
"119",45,"think",7,0
"120",45,"say",8,0
"121",45,"reveal",3,0.49
"123",45,"be right",6,0
"125",45,"inform",12,0.92
"126",45,"prove",2,0
"127",45,"announce",10,0.06
"128",45,"confirm",4,0
"129",45,"pretend",15,0.2
"130",45,"demonstrate",18,0
"131",47,"confirm",4,0.72
"132",47,"demonstrate",18,0.93
"134",47,"announce",10,0.25
"135",47,"confess",20,0.28
"136",47,"reveal",3,0.62
"137",47,"say",8,0.36
"138",47,"admit",13,0.77
"139",47,"hear",16,0.63
"140",47,"discover",14,0.35
"142",47,"be right",6,0.11
"144",47,"establish",1,0.31
"146",47,"prove",2,0.26
"147",47,"suggest",17,0.11
"149",47,"pretend",15,0.22
"150",47,"know",11,0.34
"152",47,"be annoyed",9,0.67
"153",47,"acknowledge",5,0.34
"154",47,"think",7,0.18
"155",47,"see",19,0.32
"156",47,"inform",12,0.65
"157",48,"hear",16,0.87
"158",48,"acknowledge",5,0.95
"161",48,"prove",2,0.2
"162",48,"think",7,0.15
"163",48,"establish",1,0.33
"164",48,"announce",10,0.58
"165",48,"be annoyed",9,0.89
"166",48,"see",19,0.77
"167",48,"confirm",4,0.24
"168",48,"be right",6,0.22
"170",48,"pretend",15,0.19
"173",48,"say",8,0.18
"174",48,"confess",20,0.59
"176",48,"reveal",3,0.85
"177",48,"inform",12,0.92
"178",48,"suggest",17,0.39
"179",48,"discover",14,0.58
"180",48,"know",11,0.91
"181",48,"admit",13,0.99
"182",48,"demonstrate",18,0.78
"209",49,"reveal",3,0
